FEATURE2,NAME,POP_2010,LATITUDE,LONGITUDE
-999,Winnabow,-999,34.1493374,-78.0936046
-999,Long Beach,-999,33.9104515,-78.1177711
-999,Yaupon Beach,-999,33.9048962,-78.0783252
County Seat,Bolivia,143,34.0676715,-78.1483283
-999,Fairview,2678,35.5140058,-82.3959511
-999,Avery Creek,1950,35.4634464,-82.5826235
-999,Bent Creek,1287,35.5090006,-82.6079028
-999,Swannanoa,4576,35.5978935,-82.3998431
-999,Royal Pines,4272,35.4751146,-82.5159544
-999,Biltmore Forest,1343,35.5337246,-82.5284561
-999,Black Mountain,7848,35.6178951,-82.3212302
-999,Montreat,723,35.6442841,-82.3028972
-999,Weaverville,3120,35.6970547,-82.5606851
-999,Woodfin,6123,35.633444,-82.5820725
-999,Enka,-999,35.5498322,-82.6501279
-999,Jupiter,-999,35.760942,-82.5934659
-999,Dillingham,-999,35.7537245,-82.4067931
-999,Skyland,-999,35.4892809,-82.524288
County Seat,Asheville,83393,35.6009452,-82.554015
-999,Icard,2664,35.7273539,-81.4706462
-999,Salem,2218,35.6987399,-81.6970412
-999,Hildebran,2023,35.7140208,-81.4220334
-999,Connelly Springs,1669,35.7429092,-81.5134255
-999,Drexel,1858,35.7579081,-81.6042614
-999,Glen Alpine,1517,35.7290168,-81.7792661
-999,Valdese,4490,35.7406864,-81.563149
-999,Rutherford College,1341,35.7484645,-81.5225925
County Seat,Morganton,16918,35.7454071,-81.6848188
-999,Kannapolis,42625,35.4873613,-80.6217341
-999,Midland,3073,35.2273656,-80.5006219
-999,Mount Pleasant,1652,35.399308,-80.4358963
-999,Harrisburg,11526,35.3237528,-80.6559017
-999,Roberta Mill,-999,35.3573633,-80.6359013
County Seat,Concord,79066,35.4087517,-80.579511
-999,Cajah's Mountain,2823,35.8506535,-81.5361149
-999,Hudson,3776,35.8484645,-81.4959267
-999,Gamewell,4051,35.8692971,-81.5962082
-999,Granite Falls,4722,35.7965205,-81.4306458
-999,Rhodhiss,1070,35.7740206,-81.431201
-999,Sawmills,5240,35.8248535,-81.4745366
-999,Cedar Rock,300,35.9442976,-81.458149
-999,Collettsville,-999,35.9256856,-81.6745456
-999,Whitnel,-999,35.8881865,-81.5234283
-999,Yadkin Valley,-999,36.0223527,-81.4900963
County Seat,Lenoir,18228,35.9140196,-81.5389849
-999,South Mills,454,36.4457093,-76.3274397
-999,Shiloh,-999,36.2732136,-76.0852053
County Seat,Camden,599,36.3284897,-76.1718764
-999,Harkers Island,1207,34.6951628,-76.5593693
-999,Atlantic Beach,1495,34.6990505,-76.7402108
-999,Bogue,684,34.6993286,-77.0368913
-999,Cape Carteret,1917,34.6915509,-77.0630033
-999,Indian Beach,112,34.6865508,-76.8952181
-999,Morehead City,8661,34.7229391,-76.7260436
-999,Cedar Point,1279,34.6876621,-77.0724481
-999,Emerald Isle,3655,34.6779399,-76.9507762
-999,Newport,4150,34.7865497,-76.8591057
-999,Peletier,644,34.7301615,-77.0843934
-999,Pine Knoll Shores,1339,34.6973838,-76.8132697
-999,Atlantic,543,34.8848864,-76.3404708
-999,Broad Creek,2334,34.7207171,-76.9363315
-999,Davis,422,34.7973848,-76.460199
-999,Gloucester,537,34.7262735,-76.5410354
-999,Marshallberg,403,34.7279403,-76.5157565
-999,Otway,-999,34.7757174,-76.557981
-999,Merrimon,-999,34.9493281,-76.6393742
-999,Sealevel,-999,34.8623857,-76.3876956
-999,Salter Path,-999,34.6884952,-76.886051
County Seat,Beaufort,4039,34.7182174,-76.6638186
-999,Milton,166,36.5390286,-79.208628
-999,Leasburg,-999,36.394584,-79.1544596
-999,Pelham,-999,36.5101391,-79.4716908
-999,Providence,-999,36.5051396,-79.3702989
County Seat,Yanceyville,2039,36.4040273,-79.3361314
-999,Claremont,1352,35.7145776,-81.1461917
-999,Conover,8165,35.7065217,-81.2186933
-999,Hickory,40010,35.7331878,-81.3411974
-999,Brookford,382,35.7031879,-81.3478641
-999,Long View,4871,35.72923288,-81.38334743
-999,Maiden,3310,35.5756889,-81.2117474
-999,Catawba,603,35.7073558,-81.0756345
-999,Sherrills Ford,-999,35.6204121,-80.9864655
County Seat,Newton,12968,35.6698552,-81.2214708
-999,Fearrington Village,2339,35.8037574,-79.0902898
-999,Goldston,268,35.5932028,-79.3283539
-999,Siler City,7887,35.7234734,-79.4622431
-999,Bennett,282,35.5654206,-79.5436361
-999,Gulf,144,35.5604272,-79.2816873
-999,Moncure,711,35.6226512,-79.0783493
-999,Bonlee,-999,35.6459769,-79.4144654
-999,Bynum,-999,35.7740346,-79.1422354
-999,Haywood,-999,35.6201515,-79.0639047
County Seat,Pittsboro,3743,35.7201463,-79.1772371
-999,Andrews,1781,35.2017549,-83.8240667
-999,Marble,321,35.175086,-83.9249052
-999,Culberson,-999,34.991749,-84.1676921
-999,Hiwassee,-999,35.1489697,-84.1713047
-999,Topton,-999,35.2470348,-83.7032269
County Seat,Murphy,1627,35.0875836,-84.0346315
-999,Center Hill,-999,36.2151571,-76.610779
-999,Valhalla,-999,36.1371028,-76.6577239
County Seat,Edenton,5004,36.057938,-76.6077213
-999,Brasstown,-999,35.0395298,-83.956849
